product_name,customer_marital_status,customer_gender,territory_name,special_offer_type,special_offer_category,order_date,status,delivery_days,subtotal,order_qty,unit_price,unit_price_discount
HL Road Tire,S,M,Northwest,No Discount,No Discount,2013-09-21,entregue no prazo,7,39.98,1,4.99,0.0
"Mountain-100 Black, 44",M,M,Northwest,No Discount,No Discount,2014-02-01,entregue no prazo,7,63.47,1,24.49,0.0
"Touring-1000 Blue, 54",M,M,Northwest,No Discount,No Discount,2014-01-05,entregue no prazo,7,89.46,1,4.99,0.0
"Touring-3000 Blue, 50",M,M,Northwest,No Discount,No Discount,2014-03-08,entregue no prazo,7,34.89,1,32.6,0.0
Rear Derailleur,M,M,Northwest,No Discount,No Discount,2014-03-17,entregue no prazo,7,120.0,1,120.0,0.0
HL Road Handlebars,S,M,Northwest,No Discount,No Discount,2013-12-01,entregue no prazo,7,53.99,1,53.99,0.0
"Mountain-100 Silver, 44",S,M,Northwest,No Discount,No Discount,2014-05-06,entregue no prazo,7,58.98,1,8.99,0.0
Rear Derailleur,M,M,Northwest,No Discount,No Discount,2013-02-28,entregue no prazo,7,540.39,3,180.13,0.0
"Mountain Bike Socks, M",S,M,Northwest,No Discount,No Discount,2013-08-19,entregue no prazo,7,67.93,1,54.99,0.0
"Mountain-200 Silver, 46",M,M,Northwest,No Discount,No Discount,2013-07-26,entregue no prazo,7,42.28,1,2.29,0.0
"Touring-3000 Yellow, 44",S,M,Northwest,No Discount,No Discount,2014-04-11,entregue no prazo,7,30.48,1,21.49,0.0
"Women's Tights, L",S,M,Northwest,No Discount,No Discount,2013-07-07,entregue no prazo,7,63.97,1,34.99,0.0
Rear Derailleur,S,M,Northwest,No Discount,No Discount,2014-01-17,entregue no prazo,7,39.98,1,34.99,0.0
"HL Mountain Frame - Black, 38",S,M,Northwest,No Discount,No Discount,2013-11-12,entregue no prazo,7,69.97,1,29.99,0.0
Patch Kit/8 Patches,S,F,Northwest,No Discount,No Discount,2013-11-24,entregue no prazo,7,78.98,1,69.99,0.0
"Touring-Panniers, Large",M,M,Northwest,No Discount,No Discount,2014-03-04,entregue no prazo,7,96.07,1,3.99,0.0
LL Road Rear Wheel,S,F,Northwest,No Discount,No Discount,2013-11-07,entregue no prazo,7,4.99,1,4.99,0.0
"Road-650 Red, 52",M,M,Northwest,No Discount,No Discount,2013-08-17,entregue no prazo,7,23.78,1,2.29,0.0
"Touring-3000 Yellow, 54",M,M,Northwest,No Discount,No Discount,2014-04-08,entregue no prazo,7,74.98,1,4.99,0.0
"Mountain-100 Silver, 38",S,F,Northwest,No Discount,No Discount,2014-04-01,entregue no prazo,7,120.95,1,8.99,0.0
"Road-150 Red, 62",M,M,Northwest,No Discount,No Discount,2013-10-30,entregue no prazo,7,69.99,1,69.99,0.0
LL Mountain Front Wheel,S,M,Northwest,No Discount,No Discount,2014-06-26,entregue no prazo,7,79.97,1,24.99,0.0
"LL Road Frame - Black, 44",M,M,Northwest,No Discount,No Discount,2014-01-13,entregue no prazo,7,42.28,1,4.99,0.0
"LL Road Frame - Red, 44",M,M,Northwest,No Discount,No Discount,2013-12-06,entregue no prazo,7,68.97,1,4.99,0.0
"Touring-3000 Blue, 58",S,M,Northwest,No Discount,No Discount,2014-03-02,entregue no prazo,7,45.22,1,4.99,0.0
Headlights - Dual-Beam,S,M,Northwest,No Discount,No Discount,2013-10-28,entregue no prazo,7,539.99,1,539.99,0.0
"Road-250 Black, 44",M,M,Northwest,No Discount,No Discount,2014-02-01,entregue no prazo,7,69.97,1,54.99,0.0
"Women's Mountain Shorts, L",S,M,Northwest,No Discount,No Discount,2014-06-30,entregue no prazo,7,12.94,1,7.95,0.0
"Mountain-300 Black, 44",M,M,Northwest,No Discount,No Discount,2014-04-09,entregue no prazo,7,34.89,1,32.6,0.0
HL Mountain Front Wheel,M,M,Northwest,No Discount,No Discount,2014-02-21,entregue no prazo,7,64.47,1,34.99,0.0
Touring Rear Wheel,S,F,Northwest,No Discount,No Discount,2014-02-22,entregue no prazo,7,45.95,1,4.99,0.0
"Long-Sleeve Logo Jersey, M",S,M,Northwest,No Discount,No Discount,2013-09-01,entregue no prazo,7,69.92,1,7.95,0.0
Mountain Pump,M,M,Northwest,No Discount,No Discount,2014-04-08,entregue no prazo,7,123.98,1,53.99,0.0
LL Crankset,S,F,Northwest,No Discount,No Discount,2014-05-06,entregue no prazo,7,33.98,1,4.99,0.0
"Sport-100 Helmet, Red",M,M,Northwest,No Discount,No Discount,2013-07-30,entregue no prazo,7,13.98,1,8.99,0.0
"Road-550-W Yellow, 40",M,M,Northwest,No Discount,No Discount,2013-11-25,entregue no prazo,7,64.47,1,34.99,0.0
"Road-650 Black, 62",M,M,Northwest,No Discount,No Discount,2014-01-22,entregue no prazo,7,64.97,1,34.99,0.0
"LL Touring Frame - Yellow, 50",M,M,Northwest,No Discount,No Discount,2013-09-05,entregue no prazo,7,24.99,1,24.99,0.0
"HL Road Frame - Black, 58",S,F,Northwest,No Discount,No Discount,2014-02-05,entregue no prazo,7,198.99,1,35.0,0.0
"Mountain-400-W Silver, 40",M,M,Northwest,No Discount,No Discount,2013-10-01,entregue no prazo,7,27.28,1,24.99,0.0
"Road-650 Black, 60",S,M,Northwest,No Discount,No Discount,2013-11-07,entregue no prazo,7,12.94,1,4.99,0.0
"Road-250 Red, 52",S,M,Northwest,No Discount,No Discount,2014-06-23,entregue no prazo,7,69.99,1,69.99,0.0
"LL Touring Frame - Yellow, 58",M,M,Northwest,No Discount,No Discount,2014-01-05,entregue no prazo,7,75.47,1,3.99,0.0
"Road-650 Red, 44",M,M,Northwest,No Discount,No Discount,2014-02-27,entregue no prazo,7,4.99,1,4.99,0.0
"HL Road Frame - Black, 62",S,F,Northwest,No Discount,No Discount,2014-06-13,entregue no prazo,7,69.97,1,29.99,0.0
"HL Road Frame - Red, 58",S,F,Northwest,No Discount,No Discount,2013-11-11,entregue no prazo,7,66.96,1,21.98,0.0
"Road-150 Red, 48",M,M,Northwest,No Discount,No Discount,2014-06-15,entregue no prazo,7,94.46,1,29.99,0.0
Minipump,M,M,Northwest,No Discount,No Discount,2013-09-30,entregue no prazo,7,103.96,1,53.99,0.0
"ML Road Frame-W - Yellow, 44",M,M,Northwest,No Discount,No Discount,2013-07-16,entregue no prazo,7,34.98,1,4.99,0.0
"LL Road Frame - Black, 48",M,M,Northwest,No Discount,No Discount,2014-02-11,entregue no prazo,7,134.98,1,9.99,0.0
"Touring-3000 Yellow, 58",S,F,Northwest,No Discount,No Discount,2013-07-04,entregue no prazo,7,78.98,1,69.99,0.0
"Touring-3000 Blue, 50",M,M,Northwest,No Discount,No Discount,2013-10-18,entregue no prazo,7,22.93,1,9.99,0.0
"Racing Socks, M",M,M,Northwest,No Discount,No Discount,2013-09-13,entregue no prazo,7,60.47,1,34.99,0.0
"HL Mountain Frame - Silver, 38",S,F,Northwest,No Discount,No Discount,2014-06-04,entregue no prazo,7,39.47,1,4.99,0.0
HL Road Rear Wheel,S,M,Northwest,No Discount,No Discount,2013-08-21,entregue no prazo,7,89.97,1,49.99,0.0
"Mountain-400-W Silver, 38",S,F,Northwest,No Discount,No Discount,2013-07-19,entregue no prazo,7,29.99,1,29.99,0.0
"Road-650 Red, 48",S,F,Northwest,No Discount,No Discount,2013-11-17,entregue no prazo,7,68.97,1,34.99,0.0
"HL Mountain Frame - Silver, 38",S,M,Northwest,No Discount,No Discount,2014-02-28,entregue no prazo,7,59.98,1,54.99,0.0
"Road-550-W Yellow, 40",S,M,Northwest,No Discount,No Discount,2013-11-15,entregue no prazo,7,119.98,1,69.99,0.0
Hydration Pack - 70 oz.,S,F,Northwest,No Discount,No Discount,2014-05-13,entregue no prazo,7,74.98,1,4.99,0.0
"HL Road Frame - Black, 62",S,M,Northwest,No Discount,No Discount,2013-09-23,entregue no prazo,7,49.97,1,4.99,0.0
"Mountain-100 Silver, 48",S,M,Northwest,No Discount,No Discount,2014-06-23,entregue no prazo,7,71.58,1,32.6,0.0
ML Crankset,S,F,Northwest,No Discount,No Discount,2014-03-04,entregue no prazo,7,71.58,1,34.99,0.0
Minipump,M,M,Northwest,No Discount,No Discount,2013-12-17,entregue no prazo,7,127.95,1,49.99,0.0
"Road-650 Black, 60",M,M,Northwest,No Discount,No Discount,2013-09-16,entregue no prazo,7,123.98,1,69.99,0.0
"Road-650 Black, 52",M,M,Northwest,No Discount,No Discount,2014-02-04,entregue no prazo,7,69.99,1,69.99,0.0
Headlights - Weatherproof,S,F,Northwest,No Discount,No Discount,2014-01-17,entregue no prazo,7,7.28,1,4.99,0.0
"LL Touring Frame - Yellow, 62",S,M,Northwest,No Discount,No Discount,2014-02-12,entregue no prazo,7,51.46,1,4.99,0.0
"Mountain-100 Silver, 38",S,F,Northwest,No Discount,No Discount,2014-03-24,entregue no prazo,7,99.47,1,24.49,0.0
AWC Logo Cap,S,F,Northwest,No Discount,No Discount,2013-12-28,entregue no prazo,7,34.99,1,34.99,0.0
"LL Mountain Frame - Black, 48",S,M,Northwest,No Discount,No Discount,2013-08-09,entregue no prazo,7,198.99,1,35.0,0.0
"Sport-100 Helmet, Red",M,M,Northwest,No Discount,No Discount,2014-01-04,entregue no prazo,7,49.97,1,9.99,0.0
"Women's Tights, S",S,M,Northwest,No Discount,No Discount,2014-02-11,entregue no prazo,7,78.98,1,69.99,0.0
"Long-Sleeve Logo Jersey, M",S,M,Northwest,No Discount,No Discount,2013-09-07,entregue no prazo,7,86.95,1,49.99,0.0
"Mountain-400-W Silver, 38",S,F,Northwest,No Discount,No Discount,2013-10-02,entregue no prazo,7,29.99,1,29.99,0.0
Front Brakes,M,M,Northwest,No Discount,No Discount,2013-10-08,entregue no prazo,7,39.98,1,34.99,0.0
"HL Mountain Frame - Black, 46",S,M,Northwest,No Discount,No Discount,2013-08-22,entregue no prazo,7,39.98,1,34.99,0.0
"Road-150 Red, 48",S,M,Northwest,No Discount,No Discount,2014-01-28,entregue no prazo,7,42.28,1,2.29,0.0
"LL Road Frame - Red, 52",M,M,Northwest,No Discount,No Discount,2013-07-07,entregue no prazo,7,63.97,1,3.99,0.0
"Mountain-100 Silver, 38",S,F,Northwest,No Discount,No Discount,2014-01-19,entregue no prazo,7,4.99,1,4.99,0.0
"Road-650 Red, 52",S,F,Northwest,No Discount,No Discount,2014-05-31,entregue no prazo,7,123.98,1,69.99,0.0
"Full-Finger Gloves, L",S,M,Northwest,No Discount,No Discount,2013-08-06,entregue no prazo,7,4.99,1,4.99,0.0
"Mountain-100 Silver, 38",S,M,Northwest,No Discount,No Discount,2014-04-23,entregue no prazo,7,86.45,1,4.99,0.0
"Mountain-200 Silver, 38",M,M,Northwest,No Discount,No Discount,2013-12-21,entregue no prazo,7,539.99,1,539.99,0.0
Touring Tire Tube,M,M,Northwest,No Discount,No Discount,2014-01-04,entregue no prazo,7,12.94,1,7.95,0.0
"Touring-2000 Blue, 46",S,M,Northwest,Volume Discount,Reseller,2013-10-06,entregue no prazo,7,7.28,1,2.29,0.0
"Road-650 Black, 58",S,F,Northwest,No Discount,No Discount,2013-08-04,entregue no prazo,7,49.97,1,9.99,0.0
"Road-650 Black, 58",S,M,Northwest,No Discount,No Discount,2014-04-25,entregue no prazo,7,21.98,1,21.98,0.0
ML Headset,S,F,Northwest,No Discount,No Discount,2013-10-05,entregue no prazo,7,37.27,1,29.99,0.0
"Long-Sleeve Logo Jersey, XL",S,M,Northwest,No Discount,No Discount,2013-11-15,entregue no prazo,7,34.98,1,29.99,0.0
Front Brakes,S,M,Northwest,No Discount,No Discount,2014-06-29,entregue no prazo,7,76.97,1,54.99,0.0
LL Mountain Pedal,S,F,Northwest,No Discount,No Discount,2014-06-25,entregue no prazo,7,54.96,1,34.99,0.0
"Road-250 Red, 48",M,M,Northwest,No Discount,No Discount,2013-08-29,entregue no prazo,7,39.98,1,34.99,0.0
HL Crankset,S,M,Northwest,No Discount,No Discount,2014-02-27,entregue no prazo,7,14.98,1,4.99,0.0
ML Fork,S,M,Northwest,No Discount,No Discount,2013-11-18,entregue no prazo,7,7.28,1,4.99,0.0
"Mountain-200 Silver, 46",M,M,Northwest,No Discount,No Discount,2013-09-15,entregue no prazo,7,38.98,1,3.99,0.0
"Mountain-100 Silver, 48",S,F,Northwest,No Discount,No Discount,2013-09-10,entregue no prazo,7,49.97,1,9.99,0.0
HL Road Pedal,S,F,Northwest,No Discount,No Discount,2013-09-13,entregue no prazo,7,38.98,1,3.99,0.0
"Touring-3000 Blue, 58",S,M,Northwest,No Discount,No Discount,2013-11-28,entregue no prazo,7,69.97,1,4.99,0.0
Patch Kit/8 Patches,S,F,Northwest,No Discount,No Discount,2014-04-25,entregue no prazo,7,140.45,1,4.99,0.0
"ML Road Frame-W - Yellow, 44",S,M,Northwest,No Discount,No Discount,2014-05-30,entregue no prazo,7,23.97,1,4.99,0.0
"Mountain-200 Black, 38",S,M,Northwest,No Discount,No Discount,2013-09-05,entregue no prazo,7,74.45,1,9.99,0.0
"ML Mountain Frame - Black, 40",M,M,Northwest,No Discount,No Discount,2013-07-09,entregue no prazo,7,60.47,1,34.99,0.0
"Full-Finger Gloves, M",S,F,Northwest,No Discount,No Discount,2013-09-17,entregue no prazo,7,68.97,1,9.99,0.0
"Road-250 Red, 52",S,M,Northwest,No Discount,No Discount,2014-01-10,entregue no prazo,7,119.98,1,49.99,0.0
"Mountain-300 Black, 48",S,F,Northwest,No Discount,No Discount,2014-01-21,entregue no prazo,7,58.98,1,53.99,0.0
LL Road Seat/Saddle,S,F,Northwest,No Discount,No Discount,2013-12-27,entregue no prazo,7,84.92,1,7.95,0.0
"HL Mountain Frame - Silver, 38",M,M,Northwest,Volume Discount,Reseller,2013-09-14,entregue no prazo,7,7.28,1,2.29,0.0
"Long-Sleeve Logo Jersey, XL",S,M,Northwest,No Discount,No Discount,2014-06-16,entregue no prazo,7,42.28,1,35.0,0.0
Touring Tire Tube,M,M,Northwest,No Discount,No Discount,2014-01-15,entregue no prazo,7,69.97,1,34.99,0.0
"Mountain-100 Black, 42",S,F,Northwest,No Discount,No Discount,2013-07-31,entregue no prazo,7,64.47,1,34.99,0.0
"Road-650 Black, 58",S,M,Northwest,No Discount,No Discount,2012-11-30,entregue no prazo,7,45.59,2,22.79,0.0
"Mountain-300 Black, 48",S,F,Northwest,No Discount,No Discount,2013-12-10,entregue no prazo,7,96.07,1,3.99,0.0
"HL Touring Frame - Blue, 50",S,F,Northwest,No Discount,No Discount,2014-06-09,entregue no prazo,7,34.98,1,29.99,0.0
"Road-250 Black, 48",S,F,Northwest,No Discount,No Discount,2013-08-04,entregue no prazo,7,49.97,1,34.99,0.0
ML Road Rear Wheel,M,M,Northwest,No Discount,No Discount,2013-09-19,entregue no prazo,7,128.97,1,8.99,0.0
"LL Road Frame - Black, 48",M,M,Northwest,No Discount,No Discount,2013-09-06,entregue no prazo,7,39.98,1,4.99,0.0
"LL Road Frame - Black, 48",M,M,Northwest,No Discount,No Discount,2013-12-02,entregue no prazo,7,24.99,1,24.99,0.0
"Road-650 Red, 62",S,F,Northwest,No Discount,No Discount,2013-10-27,entregue no prazo,7,14.98,1,9.99,0.0
"HL Road Frame - Red, 44",S,M,Northwest,No Discount,No Discount,2014-04-09,entregue no prazo,7,42.28,1,2.29,0.0
"Road-650 Black, 62",S,M,Northwest,No Discount,No Discount,2014-06-27,entregue no prazo,7,39.98,1,34.99,0.0
"Women's Tights, S",S,M,Northwest,No Discount,No Discount,2014-06-12,entregue no prazo,7,81.46,1,24.49,0.0
"Mountain-300 Black, 44",M,M,Northwest,No Discount,No Discount,2014-03-07,entregue no prazo,7,60.47,1,34.99,0.0
LL Fork,M,M,Northwest,No Discount,No Discount,2014-03-12,entregue no prazo,7,81.46,1,34.99,0.0
"ML Road Frame-W - Yellow, 40",S,F,Northwest,No Discount,No Discount,2014-01-06,entregue no prazo,7,86.96,1,21.98,0.0
"Mountain-200 Silver, 38",S,F,Northwest,No Discount,No Discount,2013-11-09,entregue no prazo,7,66.97,1,3.99,0.0
"Road-250 Black, 44",S,M,Northwest,No Discount,No Discount,2014-03-31,entregue no prazo,7,191.27,1,2.29,0.0
"LL Road Frame - Black, 62",S,M,Northwest,No Discount,No Discount,2013-08-03,entregue no prazo,7,124.99,1,120.0,0.0
"Road-650 Black, 58",S,F,Northwest,No Discount,No Discount,2014-05-03,entregue no prazo,7,84.98,1,49.99,0.0
"ML Road Frame - Red, 52",S,F,Northwest,No Discount,No Discount,2013-11-30,entregue no prazo,7,60.47,1,34.99,0.0
"ML Mountain Frame - Black, 40",M,M,Northwest,No Discount,No Discount,2013-10-12,entregue no prazo,7,39.99,1,4.99,0.0
"Road-450 Red, 48",M,M,Northwest,No Discount,No Discount,2014-06-29,entregue no prazo,7,39.47,1,24.49,0.0
"Road-150 Red, 56",S,F,Northwest,No Discount,No Discount,2014-03-27,entregue no prazo,7,39.98,1,34.99,0.0
"Men's Sports Shorts, S",S,F,Northwest,No Discount,No Discount,2013-10-10,entregue no prazo,7,21.98,1,21.98,0.0
"LL Touring Frame - Blue, 62",S,F,Northwest,No Discount,No Discount,2013-11-29,entregue no prazo,7,152.28,1,120.0,0.0
HL Fork,S,F,Northwest,No Discount,No Discount,2014-03-09,entregue no prazo,7,26.97,1,4.99,0.0
Hitch Rack - 4-Bike,M,M,Northwest,No Discount,No Discount,2013-11-07,entregue no prazo,7,69.99,1,69.99,0.0
"LL Road Frame - Black, 52",S,M,Northwest,No Discount,No Discount,2013-12-30,entregue no prazo,7,23.97,1,9.99,0.0
"Touring-1000 Blue, 60",S,F,Northwest,No Discount,No Discount,2014-03-19,entregue no prazo,7,18.97,1,4.99,0.0
HL Mountain Tire,S,F,Northwest,No Discount,No Discount,2014-03-12,entregue no prazo,7,130.56,1,34.99,0.0
Taillights - Battery-Powered,S,F,Northwest,No Discount,No Discount,2014-03-08,entregue no prazo,7,86.95,1,49.99,0.0
"LL Mountain Frame - Silver, 40",S,M,Northwest,No Discount,No Discount,2013-08-30,entregue no prazo,7,71.58,1,3.99,0.0
LL Crankset,S,F,Northwest,No Discount,No Discount,2013-11-13,entregue no prazo,7,539.99,1,539.99,0.0
"Road-650 Red, 62",S,F,Northwest,No Discount,No Discount,2014-05-03,entregue no prazo,7,39.98,1,34.99,0.0
Front Brakes,S,M,Northwest,No Discount,No Discount,2013-07-20,entregue no prazo,7,146.06,1,3.99,0.0
HL Mountain Tire,S,F,Northwest,No Discount,No Discount,2014-05-30,entregue no prazo,7,71.58,1,34.99,0.0
"Sport-100 Helmet, Black",S,F,Northwest,No Discount,No Discount,2014-05-24,entregue no prazo,7,48.98,1,35.0,0.0
"Mountain-300 Black, 48",S,F,Northwest,No Discount,No Discount,2014-06-19,entregue no prazo,7,39.98,1,34.99,0.0
"Road-650 Black, 60",S,M,Northwest,No Discount,No Discount,2012-09-30,entregue no prazo,7,209.26,1,209.26,0.0
"Mountain-200 Silver, 38",S,M,Northwest,No Discount,No Discount,2014-04-08,entregue no prazo,7,40.23,1,7.95,0.0
"Touring-3000 Blue, 44",M,M,Northwest,No Discount,No Discount,2013-08-18,entregue no prazo,7,13.98,1,8.99,0.0
LL Road Pedal,M,M,Northwest,No Discount,No Discount,2013-09-04,entregue no prazo,7,119.98,1,49.99,0.0
"Mountain-300 Black, 44",M,M,Northwest,No Discount,No Discount,2014-03-17,entregue no prazo,7,30.48,1,21.49,0.0
"HL Touring Frame - Blue, 54",S,M,Northwest,No Discount,No Discount,2013-11-06,entregue no prazo,7,71.58,1,32.6,0.0
"Women's Mountain Shorts, S",S,F,Northwest,No Discount,No Discount,2013-07-04,entregue no prazo,7,180.98,1,159.0,0.0
"LL Road Frame - Red, 44",M,M,Northwest,No Discount,No Discount,2013-07-06,entregue no prazo,7,39.98,1,4.99,0.0
Water Bottle - 30 oz.,S,M,Northwest,No Discount,No Discount,2013-07-22,entregue no prazo,7,81.46,1,24.49,0.0
"HL Touring Frame - Yellow, 54",S,F,Northwest,No Discount,No Discount,2014-01-18,entregue no prazo,7,6.28,1,3.99,0.0
ML Crankset,M,M,Northwest,No Discount,No Discount,2014-06-01,entregue no prazo,7,7.95,1,7.95,0.0
"Road-150 Red, 44",S,F,Northwest,No Discount,No Discount,2014-06-15,entregue no prazo,7,94.46,1,29.99,0.0
HL Mountain Handlebars,S,M,Northwest,No Discount,No Discount,2014-02-27,entregue no prazo,7,23.97,1,8.99,0.0
"LL Road Frame - Red, 48",S,F,Northwest,No Discount,No Discount,2013-07-12,entregue no prazo,7,39.98,1,4.99,0.0
"Road-350-W Yellow, 42",S,F,Northwest,No Discount,No Discount,2014-04-12,entregue no prazo,7,74.98,1,35.0,0.0
"LL Road Frame - Black, 44",S,M,Northwest,No Discount,No Discount,2014-05-14,entregue no prazo,7,91.95,1,4.99,0.0
ML Touring Seat/Saddle,M,M,Northwest,No Discount,No Discount,2013-07-07,entregue no prazo,7,68.97,1,4.99,0.0
LL Road Seat/Saddle,S,F,Northwest,No Discount,No Discount,2013-07-28,entregue no prazo,7,49.97,1,34.99,0.0
"Mountain-200 Silver, 42",S,M,Northwest,No Discount,No Discount,2013-10-15,entregue no prazo,7,37.27,1,4.99,0.0
"HL Mountain Frame - Black, 46",M,M,Northwest,No Discount,No Discount,2014-04-05,entregue no prazo,7,42.28,1,2.29,0.0
"ML Road Frame-W - Yellow, 48",S,M,Northwest,No Discount,No Discount,2013-07-07,entregue no prazo,7,63.97,1,24.99,0.0
"LL Touring Frame - Yellow, 62",S,M,Northwest,No Discount,No Discount,2013-07-22,entregue no prazo,7,81.46,1,21.98,0.0
"Full-Finger Gloves, S",S,M,Northwest,No Discount,No Discount,2013-07-17,entregue no prazo,7,156.27,1,28.99,0.0
"Mountain-200 Silver, 46",S,M,Northwest,No Discount,No Discount,2013-09-07,entregue no prazo,7,54.96,1,34.99,0.0
"ML Road Frame - Red, 52",S,F,Northwest,No Discount,No Discount,2013-08-15,entregue no prazo,7,56.97,1,34.99,0.0
"HL Mountain Frame - Black, 48",S,F,Northwest,No Discount,No Discount,2013-09-25,entregue no prazo,7,29.98,1,24.99,0.0
"LL Touring Frame - Blue, 58",M,M,Northwest,No Discount,No Discount,2014-06-15,entregue no prazo,7,78.98,1,8.99,0.0
"Road-650 Red, 60",S,F,Northwest,No Discount,No Discount,2014-01-16,entregue no prazo,7,78.98,1,69.99,0.0
"HL Mountain Frame - Silver, 38",S,M,Northwest,No Discount,No Discount,2013-11-22,entregue no prazo,7,71.58,1,3.99,0.0
"LL Road Frame - Red, 48",S,F,Northwest,No Discount,No Discount,2014-01-21,entregue no prazo,7,14.98,1,9.99,0.0
LL Mountain Tire,S,F,Northwest,No Discount,No Discount,2013-08-19,entregue no prazo,7,59.48,1,24.49,0.0
"ML Road Frame-W - Yellow, 44",S,M,Northwest,No Discount,No Discount,2013-07-23,entregue no prazo,7,74.46,1,34.99,0.0
"HL Touring Frame - Yellow, 54",S,F,Northwest,No Discount,No Discount,2014-02-04,entregue no prazo,7,128.97,1,49.99,0.0
"Mountain-500 Black, 40",S,M,Northwest,No Discount,No Discount,2013-08-29,entregue no prazo,7,42.28,1,35.0,0.0
"ML Mountain Frame - Black, 48",M,M,Northwest,No Discount,No Discount,2014-03-10,entregue no prazo,7,53.95,1,24.99,0.0
"Road-650 Red, 44",S,M,Northwest,No Discount,No Discount,2013-12-31,entregue no prazo,7,90.59,1,48.59,0.0
"Touring-3000 Yellow, 44",S,M,Northwest,No Discount,No Discount,2013-08-28,entregue no prazo,7,24.99,1,24.99,0.0
"Touring-3000 Yellow, 50",S,F,Northwest,No Discount,No Discount,2014-05-30,entregue no prazo,7,71.58,1,3.99,0.0
"Half-Finger Gloves, L",S,F,Northwest,No Discount,No Discount,2013-07-01,entregue no prazo,7,7.95,1,7.95,0.0
"HL Touring Frame - Blue, 60",S,F,Northwest,No Discount,No Discount,2014-05-05,entregue no prazo,7,94.48,1,69.99,0.0
"LL Road Frame - Red, 48",S,F,Northwest,No Discount,No Discount,2014-05-06,entregue no prazo,7,24.99,1,24.99,0.0
"Road-650 Black, 52",S,F,Northwest,No Discount,No Discount,2014-02-24,entregue no prazo,7,69.97,1,34.99,0.0
"Touring-2000 Blue, 60",S,F,Northwest,No Discount,No Discount,2014-05-15,entregue no prazo,7,539.99,1,539.99,0.0
"HL Touring Frame - Blue, 54",M,M,Northwest,No Discount,No Discount,2013-10-27,entregue no prazo,7,29.48,1,4.99,0.0
ML Road Pedal,S,F,Northwest,No Discount,No Discount,2014-03-28,entregue no prazo,7,123.48,1,63.5,0.0
ML Road Rear Wheel,S,M,Northwest,No Discount,No Discount,2014-06-23,entregue no prazo,7,7.28,1,4.99,0.0
Road Tire Tube,S,F,Northwest,No Discount,No Discount,2013-06-30,entregue no prazo,7,31.58,1,31.58,0.0
"HL Road Frame - Red, 52",M,M,Northwest,No Discount,No Discount,2014-03-02,entregue no prazo,7,45.22,1,7.95,0.0
"Road-650 Red, 52",S,M,Northwest,No Discount,No Discount,2013-09-02,entregue no prazo,7,6.28,1,3.99,0.0
"HL Road Frame - Black, 62",M,M,Northwest,No Discount,No Discount,2014-02-04,entregue no prazo,7,69.99,1,69.99,0.0
"Road-150 Red, 52",S,F,Northwest,No Discount,No Discount,2013-10-29,entregue no prazo,7,119.98,1,49.99,0.0
"Sport-100 Helmet, Red",M,M,Northwest,No Discount,No Discount,2014-03-01,entregue no prazo,7,35.0,1,35.0,0.0
"ML Road Frame - Red, 44",S,F,Northwest,No Discount,No Discount,2014-05-29,entregue no prazo,7,74.46,1,9.99,0.0
"HL Mountain Frame - Black, 46",M,M,Northwest,No Discount,No Discount,2013-10-12,entregue no prazo,7,152.6,1,120.0,0.0
"HL Road Frame - Red, 44",M,M,Northwest,No Discount,No Discount,2013-10-04,entregue no prazo,7,124.99,1,120.0,0.0
Headlights - Dual-Beam,S,M,Northwest,No Discount,No Discount,2014-06-04,entregue no prazo,7,14.98,1,9.99,0.0
"ML Road Frame - Red, 44",S,F,Northwest,No Discount,No Discount,2013-11-08,entregue no prazo,7,67.49,1,3.99,0.0
"Classic Vest, S",S,F,Northwest,No Discount,No Discount,2012-12-31,entregue no prazo,7,74.84,1,74.84,0.0
"Touring-3000 Blue, 50",S,M,Northwest,No Discount,No Discount,2014-04-23,entregue no prazo,7,62.98,1,53.99,0.0
"ML Road Frame-W - Yellow, 44",S,M,Northwest,No Discount,No Discount,2014-06-30,entregue no prazo,7,37.27,1,2.29,0.0
"LL Road Frame - Black, 48",S,F,Northwest,No Discount,No Discount,2014-01-04,entregue no prazo,7,39.98,1,34.99,0.0
"LL Touring Frame - Blue, 44",S,F,Northwest,No Discount,No Discount,2014-02-02,entregue no prazo,7,74.98,1,35.0,0.0
"Road-650 Red, 44",S,F,Northwest,No Discount,No Discount,2013-09-27,entregue no prazo,7,29.93,1,21.98,0.0
"Sport-100 Helmet, Red",M,M,Northwest,No Discount,No Discount,2013-08-02,entregue no prazo,7,80.96,1,8.99,0.0
"HL Mountain Frame - Silver, 42",S,F,Northwest,No Discount,No Discount,2013-10-18,entregue no prazo,7,45.58,1,8.99,0.0
"Full-Finger Gloves, S",S,M,Northwest,No Discount,No Discount,2013-09-19,entregue no prazo,7,128.97,1,8.99,0.0
"Road-150 Red, 56",S,F,Northwest,No Discount,No Discount,2014-04-24,entregue no prazo,7,34.98,1,4.99,0.0
"LL Touring Frame - Yellow, 50",M,M,Northwest,No Discount,No Discount,2013-11-19,entregue no prazo,7,69.97,1,54.99,0.0
HL Road Handlebars,M,M,Northwest,No Discount,No Discount,2013-07-22,entregue no prazo,7,36.59,1,32.6,0.0
"Touring-1000 Blue, 60",S,F,Northwest,Volume Discount,Reseller,2014-05-09,entregue no prazo,7,25.22,1,2.29,0.0
